Sub Group,Profession,Role,Name,Account,WepSet1_1,WepSet1_2,WepSet2_1,WepSet2_2,Boss DPS,Boss DMG,Boss Power DPS,Boss Power DMG,Boss Condi DPS,Boss Condi DMG,All DPS,All DMG,All Power DPS,All Power DMG,All Condi DPS,All Condi DMG,Times Downed,Time Died
2,Soulbeast,,Kuroki Leal,Lealmanques.6509,Longbow,2Hand,Dagger,Axe,7942,1772040,7642,1705008,300,67032,11970,2670796,11576,2582915,394,87881,2,0
2,Mirage,Condi:10,Starlom,Starlom.1324,Staff,2Hand,Staff,2Hand,12436,2774673,1435,320147,11001,2454526,15482,3454306,2344,522955,13138,2931351,0,0
2,Berserker,,Karime Valle,Daxer.3217,Axe,Axe,Unknown,Unknown,10352,2309816,10199,2275535,154,34281,15409,3438205,15175,3385804,235,52401,1,0
2,Harbinger,Condi:10,Vohn Tuzad,Patriarkus.3785,Pistol,Dagger,Scepter,Dagger,7853,1752157,1344,299894,6509,1452263,11413,2546575,2299,512991,9114,2033584,0,0
3,Soulbeast,,Kvynxx,fernaxv.3249,Longbow,2Hand,Dagger,Axe,12121,2704528,11522,2570737,600,133791,16190,3612417,15437,3444466,753,167951,0,0
3,Renegade,Condi:10,Kaypeae,CrambzZ.4892,Mace,Axe,Shortbow,2Hand,16012,3572732,3419,762786,12594,2809946,22637,5050968,5084,1134442,17553,3916526,0,0
3,Harbinger,Condi:10,Darkvieefe,VieeFee.3540,Scepter,Dagger,Pistol,Dagger,9878,2203908,2217,494674,7660,1709234,15487,3455473,3825,853469,11662,2602004,0,0
3,Mechanist,Concentration:10 Healing:10,Amärá,pablogintoki.3261,Mace,Shield,Unknown,Unknown,4276,954130,3809,849860,467,104270,6473,1444176,5794,1292770,679,151406,0,0
3,Renegade,Condi:10,Cat Madness,Khrone.6203,Shortbow,2Hand,Mace,Axe,13214,2948318,2364,527559,10849,2420759,18924,4222469,3764,839934,15160,3382535,1,0
2,Berserker,,Alsrroum,Ten Mel.4812,Axe,Axe,Mace,Mace,10190,3131915,10007,3075667,183,56248,14049,4318088,13812,4245256,237,72832,1,0
2,Scrapper,,Deadly Gasai Yuno,Fabio no.4796,Hammer,2Hand,Unknown,Unknown,9102,2797525,8604,2644501,498,153024,14391,4423411,13736,4221993,655,201418,1,0
2,Harbinger,Condi:10,Eyshaz,Zancos.6341,Pistol,Dagger,Scepter,Warhorn,6873,2112420,1094,336235,5779,1776185,8787,2700748,1456,447498,7331,2253250,3,1
2,Druid,Concentration:10 Healing:10 Toughness:10,Arceso Wild Caress,Arceso.8749,Axe,Warhorn,Staff,2Hand,1634,502177,1361,418438,272,83739,2267,696927,1859,571276,409,125651,0,0
2,Renegade,Concentration:10,Kotitse,burgerx.1784,Sword,Sword,Staff,2Hand,5333,1639093,5071,1558673,262,80420,7501,2305593,7192,2210509,309,95084,1,0
3,Mechanist,,Kriivia,fernaxv.3249,Unknown,Unknown,Mace,Pistol,7142,2195293,3647,1120987,3495,1074306,10342,3178648,5806,1784435,4536,1394213,1,0
3,Firebrand,Concentration:10 Healing:10,Astrid Laudóttir,Lesha.9607,Axe,Shield,Staff,2Hand,1275,391805,948,291439,327,100366,2268,697069,1699,522160,569,174909,1,1
3,Tempest,,Aisha Bondsoul,Garri.9526,Scepter,Warhorn,Unknown,Unknown,7177,2205853,6390,1964163,786,241690,12403,3812098,11165,3431857,1237,380241,5,0
3,Holosmith,,Scarlet Briâr,Landsire.3564,Rifle,2Hand,Unknown,Unknown,11012,3384641,10113,3108324,899,276317,16703,5133871,15434,4743889,1269,389982,3,0
3,Harbinger,Condi:10,Blaise Soulslaver,BONILLA.7295,Pistol,Dagger,Scepter,Dagger,10591,3255372,1640,503984,8952,2751388,13458,4136640,2047,629077,11412,3507563,1,0
2,Soulbeast,,Kvynxx,fernaxv.3249,Longbow,2Hand,Dagger,Axe,13374,2450624,13230,2424164,144,26460,18120,3320179,17924,3284311,196,35868,1,0
2,Mechanist,Concentration:10 Healing:10,Sofia Ilmora,Cloud Kenshiro.3702,Mace,Shield,Unknown,Unknown,4665,854800,4120,754859,545,99941,7335,1344022,6596,1208670,739,135352,0,0
2,Scrapper,,Mario Maquinitas,Mario Landa.1452,Hammer,2Hand,Unknown,Unknown,11854,2172083,11215,2055027,639,117056,18585,3405440,17678,3239218,907,166222,0,0
2,Berserker,,Untîd,Untid.2357,Axe,Axe,Greatsword,2Hand,15821,2898942,15768,2889233,53,9709,24257,4444843,24175,4429687,83,15156,0,0
2,Berserker,,Mr Kruji,MrKrujidor.3728,Axe,Axe,Mace,Mace,14808,2713309,14710,2695423,98,17886,19721,3613689,19599,3591348,122,22341,0,0
3,Scourge,Condi:10,Ririmu,RiriMu.7198,Scepter,Torch,Scepter,Warhorn,13312,2439296,1301,238359,12011,2200937,23397,4287197,2013,368843,21384,3918354,0,0
3,Mechanist,Condi:10,Aliyosha,Reciprokator.1429,Mace,Pistol,Unknown,Unknown,19290,3534635,6176,1131618,13114,2403017,26724,4896870,9222,1689868,17502,3207002,0,0
3,Mirage,Condi:10,Sirene Shyrma,Thorquios.1620,Staff,2Hand,Staff,2Hand,12803,2346055,1178,215777,11626,2130278,15543,2848016,1542,282622,14000,2565394,0,0
3,Firebrand,Healing:10 Toughness:10,Lyssanim,Surah.4683,Mace,Shield,Staff,2Hand,1241,227378,1062,194689,178,32689,2635,482761,1889,346127,746,136634,0,0
3,Dragonhunter,,Ísmene,vluevitx.4326,Sword,Focus,Greatsword,2Hand,9049,1658041,8868,1625029,180,33012,12275,2249193,12021,2202641,254,46552,3,0
2,Daredevil,,Doña Sol,Girasol.8364,Staff,2Hand,Pistol,Pistol,8367,2225430,8174,2173965,193,51465,12234,3253850,12012,3194974,221,58876,3,0
2,Druid,Concentration:10 Healing:10 Toughness:10,Arceso Wild Caress,Arceso.8749,Axe,Warhorn,Staff,2Hand,1328,353124,756,200999,572,152125,1912,508493,1134,301514,778,206979,0,0
2,Renegade,Concentration:10,Ares Morgenstern,MissNothing.4720,Sword,Sword,Unknown,Unknown,4892,1301024,4661,1239623,231,61401,7240,1925704,6919,1840339,321,85365,1,0
2,Weaver,,Hackernaut,Infrrod.4763,Sword,Dagger,Unknown,Unknown,7251,1928658,6259,1664800,992,263858,12371,3290280,10890,2896507,1480,393773,2,0
2,Harbinger,Condi:10,Eyshaz,Zancos.6341,Pistol,Dagger,Scepter,Unknown,9660,2569413,1551,412470,8110,2156943,11639,3095774,2069,550275,9571,2545499,2,0
3,Firebrand,,Adriana Scarlet,Zarky.4568,Axe,Torch,Unknown,Unknown,13089,3481395,2474,658087,10615,2823308,18863,5017087,3505,932304,15358,4084783,1,0
3,Berserker,,Kal Tharin,Patriarkus.3785,Axe,Axe,Unknown,Unknown,10131,2694664,9908,2635278,223,59386,12888,3427901,12611,3354160,277,73741,1,0
3,Mechanist,Concentration:10 Healing:10 Toughness:10,Takiyahaashime,RiukiraTB.6103,Unknown,Unknown,Mace,Shield,1957,520402,1786,475012,171,45390,3623,963631,3315,881776,308,81855,1,0
3,Renegade,Condi:10,Kaer Stark,VieeFee.3540,Shortbow,2Hand,Mace,Axe,14168,3768305,2586,687680,11582,3080625,19170,5098767,3821,1016369,15349,4082398,1,0
3,Firebrand,Condi:10,Vynkrea,fernaxv.3249,Scepter,Torch,Axe,Torch,10609,2821666,1726,459146,8883,2362520,16496,4387372,2625,698093,13871,3689279,2,0
1,Firebrand,Healing:10 Toughness:10,Klokrek,Ipu.5307,Staff,2Hand,Axe,Shield,2156,513329,1561,371614,595,141715,3890,925989,2763,657668,1127,268321,0,0
1,Soulbeast,,Kvynxx,fernaxv.3249,Longbow,2Hand,Sword,Axe,13923,3314488,13876,3303368,47,11120,20667,4920069,20617,4908061,50,12008,0,0
1,Mechanist,Concentration:10 Healing:10,Lexya Tekk,falchos.8345,Mace,Shield,Unknown,Unknown,4829,1149713,4301,1023971,528,125742,7440,1771243,6733,1602869,707,168374,0,0
1,Renegade,Concentration:10,Mr Furious Plant,Czaro.7654,Sword,Sword,Unknown,Unknown,6042,1438256,6012,1431228,30,7028,8543,2033797,8504,2024437,39,9360,0,0
1,Catalyst,,Fyer Hornless,oska.3295,Unknown,Unknown,Hammer,2Hand,11347,2701235,10479,2494625,868,206610,16405,3905390,15241,3628333,1164,277057,0,0
2,Renegade,Concentration:10,Tentaro,Tobis.9628,Sword,Unknown,Sword,Sword,7203,1714871,7024,1672042,180,42829,10336,2460602,10064,2395820,272,64782,0,0
2,Druid,Concentration:10 Healing:10,Emily Emberspark,MYC.1639,Staff,2Hand,Axe,Warhorn,2729,649675,1935,460584,794,189091,3709,883063,2678,637585,1031,245478,0,0
2,Berserker,,Keegan Stonehorn,Koksmastarn.3082,Axe,Axe,Mace,Mace,14344,3414705,14172,3373839,172,40866,18972,4516468,18800,4475602,172,40866,0,0
2,Virtuoso,Condi:10,Sofykan,Bente.9703,Dagger,Sword,Dagger,Focus,18187,4329574,5738,1366042,12449,2963532,23390,5568221,8149,1940028,15241,3628193,0,0
2,Firebrand,Condi:10,Kogonol,lunogu.8051,Scepter,Torch,Axe,Torch,9501,2261792,2383,567408,7117,1694384,12916,3074885,3274,779446,9642,2295439,0,0
2,Mechanist,Concentration:10,Arceso,Arceso.8749,Mace,Pistol,Unknown,Unknown,7658,1549965,2546,515191,5113,1034774,11123,2251102,3481,704503,7642,1546599,0,0
2,Scourge,Condi:10,Alice Greenthorn,CrambzZ.4892,Scepter,Torch,Unknown,Unknown,17281,3497452,1564,316460,15717,3180992,25508,5162581,2555,517129,22953,4645452,0,0
2,Harbinger,Condi:10,Edëlyn,Eliasmon.4537,Scepter,Dagger,Pistol,Dagger,12410,2511667,2041,413109,10369,2098558,16166,3271766,2981,603370,13185,2668396,0,0
2,Firebrand,Condi:10,Daddynar Kholin,Garri.9526,Scepter,Torch,Axe,Torch,14422,2918835,1652,334294,12770,2584541,23965,4850194,2852,577233,21113,4272961,0,0
3,Scourge,Condi:10,Nightmare Aliyosha,Reciprokator.1429,Scepter,Torch,Unknown,Unknown,18095,3662216,1485,300545,16610,3361671,26919,5448080,2541,514209,24378,4933871,0,0
3,Mirage,Condi:10,Sirene Shyrma,Thorquios.1620,Staff,2Hand,Staff,2Hand,10453,2115479,992,200685,9461,1914794,12785,2587455,1478,299065,11307,2288390,0,0
3,Scourge,Condi:10,Vyneaw,fernaxv.3249,Unknown,Unknown,Scepter,Torch,12064,2441565,1045,211562,11019,2230003,21381,4327307,1890,382507,19491,3944800,0,0
3,Scourge,Healing:10,Ereshkigalr,pablogintoki.3261,Dagger,Warhorn,Dagger,Torch,2987,604436,2010,406802,977,197634,6558,1327201,3125,632501,3433,694700,0,0
3,Harbinger,Condi:10,Darkvieefe,VieeFee.3540,Scepter,Dagger,Pistol,Dagger,11136,2253726,2012,407240,9124,1846486,15050,3045962,2926,592145,12124,2453817,0,0
